objective,similarity,type
47761,87,best_nodes
51151,78,best_nodes
50907,80,best_nodes
47294,86,best_nodes
50124,85,best_nodes
50280,82,best_nodes
47190,87,best_nodes
48715,88,best_nodes
46420,89,best_nodes
49903,84,best_nodes
50005,84,best_nodes
46744,88,best_nodes
49529,82,best_nodes
48824,86,best_nodes
48680,84,best_nodes
47902,83,best_nodes
48749,88,best_nodes
48145,88,best_nodes
46895,89,best_nodes
48849,84,best_nodes
49954,80,best_nodes
48130,88,best_nodes
48568,83,best_nodes
48455,85,best_nodes
47369,82,best_nodes
48547,91,best_nodes
49418,85,best_nodes
47652,88,best_nodes
48367,90,best_nodes
47177,89,best_nodes
49329,82,best_nodes
48718,80,best_nodes
48553,85,best_nodes
47156,86,best_nodes
47981,89,best_nodes
48084,88,best_nodes
50235,82,best_nodes
50007,82,best_nodes
49588,85,best_nodes
48208,83,best_nodes
48823,87,best_nodes
47922,86,best_nodes
47666,86,best_nodes
47474,85,best_nodes
49470,87,best_nodes
48490,86,best_nodes
48370,84,best_nodes
49840,83,best_nodes
47616,92,best_nodes
49441,86,best_nodes
47324,85,best_nodes
49865,85,best_nodes
48944,86,best_nodes
47933,85,best_nodes
47564,84,best_nodes
47221,87,best_nodes
48861,79,best_nodes
48251,92,best_nodes
47699,89,best_nodes
48615,86,best_nodes
47975,85,best_nodes
48703,87,best_nodes
48597,84,best_nodes
47994,85,best_nodes
49051,81,best_nodes
47032,86,best_nodes
48118,89,best_nodes
47864,90,best_nodes
48953,89,best_nodes
48576,88,best_nodes
50627,79,best_nodes
49025,86,best_nodes
49138,82,best_nodes
48166,84,best_nodes
49033,84,best_nodes
49755,83,best_nodes
47549,86,best_nodes
49502,84,best_nodes
47278,87,best_nodes
49517,84,best_nodes
47267,84,best_nodes
50152,82,best_nodes
49671,84,best_nodes
49038,84,best_nodes
47458,86,best_nodes
49159,84,best_nodes
47468,88,best_nodes
49447,84,best_nodes
49602,90,best_nodes
47128,85,best_nodes
48718,88,best_nodes
46917,85,best_nodes
49702,85,best_nodes
47264,82,best_nodes
48441,84,best_nodes
48179,86,best_nodes
51211,80,best_nodes
48391,84,best_nodes
47061,85,best_nodes
48929,87,best_nodes
47067,84,best_nodes
46978,86,best_nodes
49010,89,best_nodes
49107,84,best_nodes
49925,84,best_nodes
48877,87,best_nodes
48924,87,best_nodes
50243,87,best_nodes
48234,87,best_nodes
48105,89,best_nodes
47965,90,best_nodes
49354,84,best_nodes
48817,86,best_nodes
49177,83,best_nodes
50457,78,best_nodes
47046,82,best_nodes
47507,88,best_nodes
47699,87,best_nodes
49064,83,best_nodes
47366,86,best_nodes
48837,85,best_nodes
47544,88,best_nodes
49994,84,best_nodes
49261,84,best_nodes
48651,86,best_nodes
49546,87,best_nodes
47715,86,best_nodes
48812,87,best_nodes
47610,87,best_nodes
48682,90,best_nodes
49471,87,best_nodes
48217,90,best_nodes
49093,88,best_nodes
47713,89,best_nodes
49412,83,best_nodes
49457,87,best_nodes
47490,87,best_nodes
47913,86,best_nodes
47678,84,best_nodes
47393,86,best_nodes
46956,85,best_nodes
46811,86,best_nodes
46770,89,best_nodes
48510,83,best_nodes
49515,81,best_nodes
48627,87,best_nodes
47701,89,best_nodes
47282,86,best_nodes
48510,86,best_nodes
50164,85,best_nodes
49106,88,best_nodes
50123,80,best_nodes
48887,85,best_nodes
47925,86,best_nodes
48075,87,best_nodes
48343,83,best_nodes
49717,85,best_nodes
47850,88,best_nodes
49200,84,best_nodes
47360,86,best_nodes
48175,85,best_nodes
50537,78,best_nodes
48454,82,best_nodes
48056,87,best_nodes
49441,84,best_nodes
48823,86,best_nodes
47038,89,best_nodes
47781,85,best_nodes
48640,87,best_nodes
48355,83,best_nodes
49980,83,best_nodes
50447,81,best_nodes
49717,85,best_nodes
48584,87,best_nodes
48310,84,best_nodes
49804,82,best_nodes
48417,87,best_nodes
47421,85,best_nodes
47343,85,best_nodes
50067,83,best_nodes
46779,85,best_nodes
48684,86,best_nodes
48037,84,best_nodes
46637,86,best_nodes
47784,87,best_nodes
50384,84,best_nodes
47976,85,best_nodes
47904,88,best_nodes
50528,79,best_nodes
48857,83,best_nodes
49086,87,best_nodes
48261,85,best_nodes
48609,82,best_nodes
50236,81,best_nodes
49293,88,best_nodes
47719,88,best_nodes
49419,81,best_nodes
48395,90,best_nodes
49248,81,best_nodes
48324,84,best_nodes
48161,90,best_nodes
48553,87,best_nodes
47979,84,best_nodes
48709,84,best_nodes
47732,82,best_nodes
48085,88,best_nodes
48161,88,best_nodes
46670,85,best_nodes
50345,85,best_nodes
49462,87,best_nodes
48119,84,best_nodes
47133,88,best_nodes
47782,82,best_nodes
47465,91,best_nodes
48687,86,best_nodes
47820,82,best_nodes
49547,87,best_nodes
47991,87,best_nodes
48019,89,best_nodes
52197,79,best_nodes
48033,90,best_nodes
49267,86,best_nodes
49167,84,best_nodes
49018,82,best_nodes
49088,87,best_nodes
47942,87,best_nodes
48561,81,best_nodes
47989,87,best_nodes
46942,93,best_nodes
48041,86,best_nodes
47866,87,best_nodes
47261,88,best_nodes
48274,83,best_nodes
48713,84,best_nodes
49629,78,best_nodes
50365,80,best_nodes
47698,88,best_nodes
47285,85,best_nodes
48697,87,best_nodes
48224,90,best_nodes
47987,85,best_nodes
48976,87,best_nodes
47899,88,best_nodes
47871,82,best_nodes
48061,85,best_nodes
47968,85,best_nodes
47188,90,best_nodes
47187,89,best_nodes
47925,86,best_nodes
49245,83,best_nodes
49022,88,best_nodes
48800,84,best_nodes
48287,87,best_nodes
51725,83,best_nodes
46660,90,best_nodes
48683,88,best_nodes
47165,84,best_nodes
49200,82,best_nodes
49542,85,best_nodes
47032,87,best_nodes
46714,89,best_nodes
49053,88,best_nodes
48127,87,best_nodes
48873,86,best_nodes
50532,83,best_nodes
49026,87,best_nodes
48211,85,best_nodes
47035,87,best_nodes
48952,87,best_nodes
