Random Search
id,x,y,cost
61,1736,127,313
178,683,1750,711
42,165,550,579
185,3525,1112,27
41,2359,715,786
120,977,1482,796
168,1848,1559,75
157,1690,787,856
96,170,1403,826
52,3784,960,767
7,1420,157,945
186,2851,343,952
21,1820,435,299
27,2,879,400
142,1120,129,575
193,579,472,333
20,3731,1803,11
162,902,44,623
3,2116,1873,105
180,3274,562,635
152,2909,1748,83
175,1131,69,131
115,747,1840,797
100,114,1710,594
104,1842,787,381
68,2040,690,962
171,1601,634,953
155,2452,1841,197
106,2905,891,68
86,3382,964,27
147,1085,1811,147
164,655,486,690
24,321,724,832
197,254,827,839
1,278,832,247
33,1893,1017,78
67,981,1513,893
156,297,653,506
91,1856,126,523
145,2043,1713,221
51,1000,1347,314
140,3287,1689,60
130,3461,1269,475
174,3115,1498,766
11,1777,1185,330
132,1833,1789,381
187,2813,30,216
81,2453,462,379
56,1911,804,697
31,632,506,215
65,1655,1900,908
58,2105,393,876
143,2702,900,336
93,3991,247,899
29,2154,1156,28
125,804,1364,658
73,700,487,488
196,234,358,990
17,210,1841,799
36,1677,73,103
69,2371,1434,856
126,1822,1668,732
121,846,1034,10
131,555,1117,355
173,905,550,707
13,1889,1720,411
22,3619,1219,596
99,3586,1263,451
128,3079,1029,534
89,3196,229,303
48,3793,578,792
195,1882,1616,342
14,2360,538,920
150,1310,1865,923
54,637,536,299
5,1191,249,141
6,1456,1804,329
141,2098,6,25
80,673,52,170
77,2282,296,81
135,277,1305,92
133,514,1770,371
12,2196,1078,893
10,592,1848,471
122,425,1514,155
158,1118,954,743
110,3208,1020,990
188,1622,1862,198
123,1306,516,914
35,2314,1089,132
18,2954,1253,65
112,845,885,662
105,649,254,892
109,2279,1148,144
146,2640,88,715
19,810,808,692
53,2920,1809,791
4,3337,1928,515
95,3370,1235,263
28,3485,1906,229
61,1736,127,313

Local Steepest Edge (Random Path)
id,x,y,cost
159,2711,851,677
106,2905,891,68
124,2932,989,109
128,3079,1029,534
95,3370,1235,263
130,3461,1269,475
99,3586,1263,451
9,3503,1542,610
4,3337,1928,515
149,3388,1945,501
28,3485,1906,229
59,3624,1821,751
20,3731,1803,11
60,3979,1762,164
148,3825,1576,145
47,3907,1503,174
94,3944,1385,108
179,3749,1066,205
185,3525,1112,27
86,3382,964,27
166,3525,715,67
194,3437,588,248
176,3281,586,6
113,3325,479,63
103,3241,318,302
89,3196,229,303
163,3078,311,182
153,2717,358,51
81,2453,462,379
77,2282,296,81
141,2098,6,25
91,1856,126,523
36,1677,73,103
61,1736,127,313
21,1820,435,299
82,2005,510,381
8,1946,680,119
111,2184,746,270
35,2314,1089,132
109,2279,1148,144
0,2249,1105,40
29,2154,1156,28
160,1978,992,421
33,1893,1017,78
144,1992,864,486
104,1842,787,381
138,1706,1019,244
11,1777,1185,330
139,1680,1260,362
182,1595,1058,485
25,1309,801,319
177,1450,398,52
5,1191,249,141
142,1120,129,575
