Random Search
id,x,y,cost
58,2105,393,876
0,2249,1105,40
169,1713,1818,92
86,3382,964,27
39,2132,1084,891
88,3334,578,840
130,3461,1269,475
111,2184,746,270
159,2711,851,677
113,3325,479,63
14,2360,538,920
18,2954,1253,65
160,1978,992,421
63,32,1428,56
102,129,1293,732
123,1306,516,914
171,1601,634,953
32,240,1344,797
170,2829,1619,522
180,3274,562,635
3,2116,1873,105
131,555,1117,355
148,3825,1576,145
153,2717,358,51
95,3370,1235,263
37,2339,880,952
16,119,890,585
90,767,1474,99
126,1822,1668,732
36,1677,73,103
195,1882,1616,342
191,817,1510,609
106,2905,891,68
110,3208,1020,990
66,3928,1338,512
163,3078,311,182
73,700,487,488
83,3014,1243,741
13,1889,1720,411
104,1842,787,381
54,637,536,299
193,579,472,333
173,905,550,707
61,1736,127,313
43,1654,1486,638
70,2012,1975,87
177,1450,398,52
21,1820,435,299
87,1866,460,712
186,2851,343,952
176,3281,586,6
42,165,550,579
79,1770,132,784
117,513,566,31
49,1904,1118,704
69,2371,1434,856
133,514,1770,371
56,1911,804,697
198,441,604,470
24,321,724,832
132,1833,1789,381
155,2452,1841,197
167,2446,1648,967
178,683,1750,711
161,1973,1935,708
146,2640,88,715
140,3287,1689,60
22,3619,1219,596
48,3793,578,792
75,3736,103,646
154,3958,1389,782
35,2314,1089,132
78,1152,93,410
101,3478,1919,906
27,2,879,400
188,1622,1862,198
134,1424,1502,419
92,35,1248,894
33,1893,1017,78
25,1309,801,319
5,1191,249,141
175,1131,69,131
45,1060,195,505
80,673,52,170
1,278,832,247
64,3217,791,927
52,3784,960,767
120,977,1482,796
142,1120,129,575
41,2359,715,786
114,3431,256,381
82,2005,510,381
135,277,1305,92
174,3115,1498,766
137,3433,28,262
183,3276,1559,31
77,2282,296,81
8,1946,680,119
98,1116,1294,697
127,3238,171,238
58,2105,393,876

Local Steepest Edge (Random Path)
id,x,y,cost
21,1820,435,299
91,1856,126,523
79,1770,132,784
61,1736,127,313
36,1677,73,103
177,1450,398,52
5,1191,249,141
78,1152,93,410
175,1131,69,131
45,1060,195,505
80,673,52,170
190,667,101,52
193,579,472,333
31,632,506,215
164,655,486,690
73,700,487,488
54,637,536,299
151,642,673,676
117,513,566,31
198,441,604,470
156,297,653,506
1,278,832,247
16,119,890,585
27,2,879,400
38,70,984,384
63,32,1428,56
135,277,1305,92
122,425,1514,155
131,555,1117,355
112,845,885,662
121,846,1034,10
125,804,1364,658
90,767,1474,99
51,1000,1347,314
147,1085,1811,147
6,1456,1804,329
188,1622,1862,198
169,1713,1818,92
132,1833,1789,381
70,2012,1975,87
3,2116,1873,105
15,2085,1797,350
145,2043,1713,221
13,1889,1720,411
195,1882,1616,342
168,1848,1559,75
139,1680,1260,362
11,1777,1185,330
138,1706,1019,244
33,1893,1017,78
160,1978,992,421
104,1842,787,381
8,1946,680,119
111,2184,746,270
29,2154,1156,28
0,2249,1105,40
109,2279,1148,144
35,2314,1089,132
143,2702,900,336
159,2711,851,677
106,2905,891,68
124,2932,989,109
62,2964,1170,51
18,2954,1253,65
55,2959,1326,289
34,2834,1384,245
152,2909,1748,83
183,3276,1559,31
140,3287,1689,60
149,3388,1945,501
28,3485,1906,229
59,3624,1821,751
20,3731,1803,11
60,3979,1762,164
148,3825,1576,145
47,3907,1503,174
94,3944,1385,108
66,3928,1338,512
179,3749,1066,205
22,3619,1219,596
99,3586,1263,451
130,3461,1269,475
95,3370,1235,263
185,3525,1112,27
86,3382,964,27
166,3525,715,67
194,3437,588,248
176,3281,586,6
113,3325,479,63
103,3241,318,302
114,3431,256,381
137,3433,28,262
127,3238,171,238
165,3139,124,509
89,3196,229,303
163,3078,311,182
153,2717,358,51
77,2282,296,81
141,2098,6,25
82,2005,510,381
21,1820,435,299

Local Steepest Edge with LM (Random Path)
id,x,y,cost
158,1118,954,743
51,1000,1347,314
90,767,1474,99
122,425,1514,155
133,514,1770,371
107,73,1855,324
40,7,1897,120
63,32,1428,56
135,277,1305,92
131,555,1117,355
121,846,1034,10
198,441,604,470
117,513,566,31
193,579,472,333
31,632,506,215
54,637,536,299
73,700,487,488
190,667,101,52
80,673,52,170
175,1131,69,131
78,1152,93,410
142,1120,129,575
5,1191,249,141
177,1450,398,52
36,1677,73,103
61,1736,127,313
91,1856,126,523
141,2098,6,25
21,1820,435,299
82,2005,510,381
77,2282,296,81
81,2453,462,379
153,2717,358,51
146,2640,88,715
187,2813,30,216
163,3078,311,182
165,3139,124,509
127,3238,171,238
89,3196,229,303
103,3241,318,302
113,3325,479,63
180,3274,562,635
176,3281,586,6
194,3437,588,248
166,3525,715,67
86,3382,964,27
95,3370,1235,263
130,3461,1269,475
185,3525,1112,27
179,3749,1066,205
94,3944,1385,108
47,3907,1503,174
148,3825,1576,145
60,3979,1762,164
20,3731,1803,11
28,3485,1906,229
140,3287,1689,60
183,3276,1559,31
152,2909,1748,83
170,2829,1619,522
34,2834,1384,245
55,2959,1326,289
18,2954,1253,65
62,2964,1170,51
124,2932,989,109
106,2905,891,68
143,2702,900,336
111,2184,746,270
8,1946,680,119
104,1842,787,381
56,1911,804,697
144,1992,864,486
33,1893,1017,78
160,1978,992,421
29,2154,1156,28
0,2249,1105,40
35,2314,1089,132
109,2279,1148,144
189,2383,1648,502
184,2600,1799,594
155,2452,1841,197
3,2116,1873,105
70,2012,1975,87
15,2085,1797,350
145,2043,1713,221
168,1848,1559,75
195,1882,1616,342
13,1889,1720,411
132,1833,1789,381
169,1713,1818,92
65,1655,1900,908
188,1622,1862,198
6,1456,1804,329
147,1085,1811,147
134,1424,1502,419
139,1680,1260,362
11,1777,1185,330
138,1706,1019,244
182,1595,1058,485
25,1309,801,319
158,1118,954,743

Local Steepest Edge (Candidates, k=5, Random Path)
id,x,y,cost
21,1820,435,299
36,1677,73,103
61,1736,127,313
79,1770,132,784
91,1856,126,523
141,2098,6,25
77,2282,296,81
81,2453,462,379
153,2717,358,51
163,3078,311,182
26,3278,370,683
103,3241,318,302
89,3196,229,303
165,3139,124,509
127,3238,171,238
137,3433,28,262
114,3431,256,381
113,3325,479,63
176,3281,586,6
194,3437,588,248
48,3793,578,792
166,3525,715,67
86,3382,964,27
185,3525,1112,27
95,3370,1235,263
99,3586,1263,451
22,3619,1219,596
179,3749,1066,205
94,3944,1385,108
47,3907,1503,174
148,3825,1576,145
60,3979,1762,164
20,3731,1803,11
59,3624,1821,751
28,3485,1906,229
149,3388,1945,501
140,3287,1689,60
183,3276,1559,31
34,2834,1384,245
55,2959,1326,289
18,2954,1253,65
62,2964,1170,51
124,2932,989,109
106,2905,891,68
159,2711,851,677
143,2702,900,336
0,2249,1105,40
35,2314,1089,132
109,2279,1148,144
29,2154,1156,28
11,1777,1185,330
138,1706,1019,244
